timestamp,confidence,x,y,w,h,fps
19-02-2026 14:59,0.646244856,8,200,266,95,15.76
19-02-2026 15:00,0.646244856,0,183,301,136,14.28
19-02-2026 15:00,0.720101411,14,183,266,136,15.32
19-02-2026 15:00,0.720101411,14,47,278,153,13.27
19-02-2026 15:00,0.757029688,135,153,36,24,14.02
19-02-2026 15:00,0.757029688,127,153,41,24,17.12
19-02-2026 15:00,0.720101411,121,150,41,30,14.73
19-02-2026 15:00,0.793957965,144,112,18,12,16.54
19-02-2026 15:00,0.609316578,218,100,36,12,16.54
19-02-2026 15:00,0.609316578,106,165,47,35,16.54
19-02-2026 15:00,0.720101411,135,106,24,12,17.12
19-02-2026 15:00,0.664708994,153,76,36,12,13.53
19-02-2026 15:00,0.664708994,218,94,36,12,13.53
19-02-2026 15:00,0.664708994,218,100,36,12,13.53
19-02-2026 15:00,0.664708994,129,109,24,18,13.53
19-02-2026 15:00,0.664708994,124,112,23,12,13.53
19-02-2026 15:00,0.757029688,218,100,36,12,16.39
19-02-2026 15:00,0.720101411,153,79,36,6,16.39
19-02-2026 15:00,0.720101411,121,115,29,17,16.39
19-02-2026 15:00,0.757029688,115,115,29,17,16.21
19-02-2026 15:00,0.720101411,177,88,23,12,16.21
19-02-2026 15:00,0.609316578,147,76,36,12,16.21
19-02-2026 15:00,0.609316578,215,100,42,12,16.21
19-02-2026 15:00,0.757029688,171,88,23,12,16.25
19-02-2026 15:00,0.609316578,153,76,36,12,16.25
19-02-2026 15:00,0.609316578,212,97,47,18,16.25
19-02-2026 15:00,0.609316578,100,121,35,17,16.25
19-02-2026 15:00,0.793957965,171,88,23,12,13.36
